,Player,ID,Tm
0,Steven Adams,adamsst01,OKC
1,Bam Adebayo,adebaba01,MIA
2,LaMarcus Aldridge,aldrila01,SAS
3,Nickeil Alexander-Walker,alexani01,NOP
4,Grayson Allen,allengr01,MEM
5,Jarrett Allen,allenja01,BRK
6,Kadeem Allen,allenka01,NYK
7,Al-Farouq Aminu,aminual01,ORL
8,Justin Anderson,anderju01,BRK
9,Kyle Anderson,anderky01,MEM
10,Ryan Anderson,anderry01,HOU
11,Giannis Antetokounmpo,antetgi01,MIL
12,Kostas Antetokounmpo,antetko01,LAL
13,Thanasis Antetokounmpo,antetth01,MIL
14,Carmelo Anthony,anthoca01,POR
15,OG Anunoby,anunoog01,TOR
16,Ryan Arcidiacono,arcidry01,CHI
19,Trevor Ariza,arizatr01,POR
20,D.J. Augustin,augusdj01,ORL
21,Deandre Ayton,aytonde01,PHO
22,Dwayne Bacon,bacondw01,CHO
23,Marvin Bagley III,baglema01,SAC
24,Lonzo Ball,balllo01,NOP
25,Mo Bamba,bambamo01,ORL
26,J.J. Barea,bareajo01,DAL
27,Harrison Barnes,barneha02,SAC
28,RJ Barrett,barrerj01,NYK
29,Will Barton,bartowi01,DEN
32,Keita Bates-Diop,bateske01,DEN
33,Nicolas Batum,batumni01,CHO
34,Aron Baynes,baynear01,PHO
37,Kent Bazemore,bazemke01,SAC
38,Darius Bazley,bazleda01,OKC
39,Bradley Beal,bealbr01,WAS
42,Malik Beasley,beaslma01,MIN
43,Marco Belinelli,belinma01,SAS
46,Jordan Bell,belljo01,MEM
47,DeAndre' Bembry,bembrde01,ATL
50,Dragan Bender,bendedr01,GSW
51,D?vis Bert?ns,bertada01,WAS
52,Patrick Beverley,beverpa01,LAC
53,Khem Birch,birchkh01,ORL
54,Goga Bitadze,bitadgo01,IND
55,Bismack Biyombo,biyombi01,CHO
56,Nemanja Bjelica,bjeline01,SAC
57,Eric Bledsoe,bledser01,MIL
58,Bogdan Bogdanovi?,bogdabo01,SAC
59,Bojan Bogdanovi?,bogdabo02,UTA
62,Jonah Bolden,boldejo01,PHO
63,Marques Bolden,boldema01,CLE
64,Jordan Bone,bonejo01,DET
65,Isaac Bonga,bongais01,WAS
66,Devin Booker,bookede01,PHO
67,Chris Boucher,bouchch01,TOR
68,Brian Bowen,bowenbr02,IND
69,Ky Bowman,bowmaky01,GSW
70,Avery Bradley,bradlav01,LAL
71,Tony Bradley,bradlto01,UTA
72,Jarrell Brantley,brantja01,UTA
73,Ignas Brazdeikis,brazdig01,NYK
74,Mikal Bridges,bridgmi01,PHO
75,Miles Bridges,bridgmi02,CHO
76,Oshae Brissett,brissos01,TOR
77,Ryan Broekhoff,broekry01,DAL
78,Malcolm Brogdon,brogdma01,IND
79,Dillon Brooks,brookdi01,MEM
80,Bruce Brown,brownbr01,DET
81,Charlie Brown,brownch02,ATL
82,Jaylen Brown,brownja02,BOS
83,Moses Brown,brownmo01,POR
84,Sterling Brown,brownst02,MIL
85,Troy Brown Jr.,browntr01,WAS
86,Jalen Brunson,brunsja01,DAL
87,Thomas Bryant,bryanth01,WAS
88,Reggie Bullock,bullore01,NYK
89,Trey Burke,burketr01,PHI
92,Alec Burks,burksal01,PHI
93,Deonte Burton,burtode02,OKC
94,Jimmy Butler,butleji01,MIA
97,Bruno Caboclo,cabocbr01,HOU
98,Kentavious Caldwell-Pope,caldwke01,LAL
99,Vlatko ?an?ar,cancavl01,DEN
100,Clint Capela,capelca01,HOU
103,DeMarre Carroll,carrode01,HOU
104,Jevon Carter,carteje01,PHO
105,Vince Carter,cartevi01,ATL
106,Wendell Carter Jr.,cartewe01,CHI
107,Michael Carter-Williams,cartemi01,ORL
108,Alex Caruso,carusal01,LAL
111,Willie Cauley-Stein,caulewi01,DAL
112,Tyson Chandler,chandty01,HOU
113,Wilson Chandler,chandwi01,BRK
114,Joe Chealey,chealjo01,CHO
115,Zylan Cheatham,cheatzy01,NOP
118,Chris Chiozza,chiozch01,BRK
119,Marquese Chriss,chrisma01,GSW
122,Gary Clark,clarkga01,ORL
123,Brandon Clarke,clarkbr01,MEM
126,Jordan Clarkson,clarkjo01,UTA
127,Nicolas Claxton,claxtni01,BRK
128,Chris Clemons,clemoch01,HOU
129,Antonius Cleveland,clevean01,DAL
130,Amir Coffey,coffeam01,LAC
131,John Collins,collijo01,ATL
132,Zach Collins,colliza01,POR
133,Mike Conley,conlemi01,UTA
134,Pat Connaughton,connapa01,MIL
135,Quinn Cook,cookqu01,LAL
136,Tyler Cook,cookty01,CLE
139,Robert Covington,covinro01,HOU
142,Allen Crabbe,crabbal01,MIN
143,Torrey Craig,craigto01,DEN
146,Jae Crowder,crowdja01,MIA
147,Jarrett Culver,culveja01,MIN
148,Seth Curry,curryse01,DAL
149,Stephen Curry,curryst01,GSW
152,Troy Daniels,danietr01,DEN
153,Anthony Davis,davisan02,LAL
154,Ed Davis,davised01,UTA
155,Terence Davis,daviste02,TOR
158,Dewayne Dedmon,dedmode01,ATL
159,Matthew Dellavedova,dellama01,CLE
160,DeMar DeRozan,derozde01,SAS
161,Cheick Diallo,diallch01,PHO
162,Hamidou Diallo,diallha01,OKC
165,Gorgui Dieng,dienggo01,MEM
